occupation,AGI-specific,NOT AGI-specific
Hydroelectric Plant Technicians,13,8
"Cutting, Punching, and Press Machine Setters, Operators, and Tenders, Metal and Plastic",23,8
"Welding, Soldering, and Brazing Machine Setters, Operators, and Tenders",21,8
Motorboat Operators,8,8
"Pressers, Textile, Garment, and Related Materials",20,8
Weatherization Installers and Technicians,12,8
Pharmacy Aides,6,8
"Janitors and Cleaners, Except Maids and Housekeeping Cleaners",13,8
Psychiatric Aides,9,8
Printing Press Operators,15,8
Naturopathic Physicians,12,8
Computer Network Support Specialists,18,8
Agricultural Equipment Operators,9,8
"Makeup Artists, Theatrical and Performance",13,9
Helpers--Extraction Workers,5,9
Telecommunications Engineering Specialists,17,9
